,ID_tassonomia,macroambiti,campi,azione,descrizione_codice_campo,descrizione_codice_macro
2,1,A,1,"Promozione strumenti ACS (Family Audit, Family in Trentino, Network nazionale, Distretto Famiglia, EuregioFamilyPass, Family in Italia)",Promozione e supporto certificazioni family,Governance e azioni di rete
4,3,A,1,Adesione  ai marchi familiari,Promozione e supporto certificazioni family,Governance e azioni di rete
80,4,A,1,Creazione nuovi disciplinari family ,Promozione e supporto certificazioni family,Governance e azioni di rete
3,5,A,1,Sistemi premianti,Promozione e supporto certificazioni family,Governance e azioni di rete
58,6,A,1,Convenzioni per la pianificazione e la realizzazione di attivitа,Promozione e supporto certificazioni family,Governance e azioni di rete
1,8,A,2,"Partecipazione e promozione di eventi organizzati da ACS (Convention Comuni, Meeting Distretti, Festival della famiglia ecc.)",Azioni di rete e sussidiarietа,Governance e azioni di rete
0,9,A,2,Interventi per rafforzare la rete,Azioni di rete e sussidiarietа,Governance e azioni di rete
35,11,A,2,Adesione/supporto al piano giovani,Azioni di rete e sussidiarietа,Governance e azioni di rete
42,12,A,2,Istituzione/coinvolgimento della consulta per la famiglia,Azioni di rete e sussidiarietа,Governance e azioni di rete
60,15,A,3,Co-progettazione attivitа del progetto strategico del Distretto famiglia,Progettazione e monitoraggio,Governance e azioni di rete
25,16,A,3,"Incontri di progettazione e programmazione, gruppo di lavoro",Progettazione e monitoraggio,Governance e azioni di rete
41,17,A,3,"Monitoraggio e Valutazione della soddisfazione/qualitа dei servizi e indagini sui fabbisogni e d’impatto dei progetti/politiche (questionari, ricerche ecc.)",Progettazione e monitoraggio,Governance e azioni di rete
53,18,A,3,Integrazione delle politiche (politiche famiglia/giovanili/sociali/sanitarie ecc),Progettazione e monitoraggio,Governance e azioni di rete
56,20,A,3,Carta della qualitа dei servizi,Progettazione e monitoraggio,Governance e azioni di rete
7,21,B,4,Agevolazioni per tariffe comunali,Agevolazioni e contributi,Misure economiche
71,22,B,4,Agevolazioni e contributi giovani coppie,Agevolazioni e contributi,Misure economiche
8,23,B,4,Agevolazioni e contributi per famiglie numerose,Agevolazioni e contributi,Misure economiche
